"Lesson_Number","Expected_Title","Source_File","Relative_Path"
"1","What Is an ETF?","01_What_Is_an_ETF.md","01-etf-fundamentals\01_What_Is_an_ETF.md"
"2","ETF Costs and Trading","02_ETF_Costs_and_Trading.md","01-etf-fundamentals\02_ETF_Costs_and_Trading.md"
"3","Diversification, Risk, and Drawdowns","03_Diversification_Risk_and_Drawdowns.md","01-etf-fundamentals\03_Diversification_Risk_and_Drawdowns.md"
"4","ETF Types and Index Construction","04_ETF_Types_and_Index_Construction.md","01-etf-fundamentals\04_ETF_Types_and_Index_Construction.md"
"5","Colombia Investment Landscape","01_Colombia_Investment_Landscape.md","02-colombia-investments\01_Colombia_Investment_Landscape.md"
